simulation,graph_type,n_vertices,n_edges,n_components,n_faces,mean_degree,std_degree,min_degree,max_degree,mean_length,std_length,min_length,max_length,total_length,entropy_degree,entropy_length,entropy_orientation,is_connected,density
12,RNG,100,119,1,21,2.38,0.7180529228406497,1,4,0.07905006664030194,0.04062021870837666,0.012892613881886714,0.18604116201301787,9.406957930195931,1.5491821476591832,3.0608693638025315,4.937674517067395,True,0.02404040404040404
13,Gabriel,100,171,1,73,3.42,1.0505236789335117,1,7,0.09295043555503409,0.05512393139439362,0.0016370316913203147,0.28055775344337724,15.89452447991083,2.084216234670709,2.8221608988435554,5.082556993953929,True,0.034545454545454546
13,RNG,100,113,1,15,2.26,0.6102458520956943,1,3,0.07511586035999614,0.04337080399087974,0.0016370316913203147,0.23922104692043092,8.488092220679563,1.31119512736192,2.72365207409408,4.987146361113342,True,0.02282828282828283
14,Gabriel,100,176,1,78,3.52,1.2687001221722964,1,7,0.09973160780386343,0.04989422915995265,0.0019509715135224818,0.2349328518412801,17.552762973479965,2.363333435616821,3.061465668613297,5.04285901815034,True,0.035555555555555556
14,RNG,100,120,1,22,2.4,0.7071067811865476,1,4,0.08115105826766301,0.04175105452758545,0.0019509715135224818,0.2248878436294222,9.738126992119561,1.5423395063053422,2.83349063597219,4.907368229795324,True,0.024242424242424242
15,Gabriel,100,175,1,77,3.5,1.004987562112089,2,6,0.09941587189539937,0.05526446570161774,0.008567355035553476,0.24939027734614524,17.39777758169489,1.9770396676991382,3.062950718068741,5.0053107394291265,True,0.03535353535353535
15,RNG,100,118,1,20,2.36,0.6560487786742689,1,4,0.08170580343006446,0.044974713127415404,0.008567355035553476,0.19367408588478555,9.641284804747606,1.4331568569324173,3.1624637664883424,4.970585897975332,True,0.02383838383838384
16,Gabriel,100,176,1,78,3.52,1.072194012294417,1,6,0.09997593448482886,0.053916826405320015,0.008460531869421719,0.22703915689589968,17.59576446932988,2.1276790726552997,3.1656395965878055,5.0521419003727495,True,0.035555555555555556
16,RNG,100,117,1,19,2.34,0.6959885056522126,1,4,0.07849068775207642,0.04142815262594955,0.008460531869421719,0.17983545693158806,9.18341046699294,1.5190852302808107,3.162649413533132,5.030854204205123,True,0.023636363636363636
17,Gabriel,100,176,1,78,3.52,0.9431860898041277,2,6,0.0902224932195096,0.04705459837213914,0.008870942574549963,0.23092834849024088,15.87915880663369,1.900081557684622,2.9770779291616742,5.038331196779297,True,0.035555555555555556
17,RNG,100,122,1,24,2.44,0.7116178749862878,1,4,0.07569478025516876,0.04133756244754272,0.008870942574549963,0.19711227693801853,9.23476319113059,1.5516525741149239,2.962237388852719,4.956300535030403,True,0.024646464646464646
18,Gabriel,100,179,1,81,3.58,1.0970870521521983,1,6,0.0970500581538065,0.043527757128053235,0.01891756464449378,0.2136603676093226,17.371960409531365,2.1434127250754442,3.0902124530471338,5.0629612789632406,True,0.03616161616161616
18,RNG,100,120,1,22,2.4,0.6000000000000001,1,4,0.08223624300825444,0.03952772205303554,0.01891756464449378,0.1811198307037431,9.868349160990533,1.3074457006515068,3.1119221041299605,4.9339044551706115,True,0.024242424242424242
19,Gabriel,100,181,1,83,3.62,1.12942463227964,1,7,0.09560093721570893,0.0509784488203723,0.0036117591656321855,0.27941574023863613,17.303769636043317,2.177832069037685,2.7596823550182714,5.050642798665428,True,0.036565656565656565
19,RNG,100,113,1,15,2.26,0.6726068688320095,1,4,0.07675870526236628,0.04040668960428416,0.0036117591656321855,0.2295672929758494,8.673733694647389,1.4710294011680594,2.741773806749835,4.971277388507328,True,0.02282828282828283
20,Gabriel,100,168,1,70,3.36,0.9645724441429995,1,6,0.0944875987176949,0.058765540948959416,0.0025531127265104266,0.29603492687121896,15.873916584572743,1.9723101575879574,2.8445827647939046,5.060905877845211,True,0.03393939393939394
20,RNG,100,117,1,19,2.34,0.6359245238233858,1,4,0.07452311891421648,0.045846350441432336,0.0025531127265104266,0.23199434895773077,8.719204912963328,1.3821480274143172,2.800342545691038,5.000217232508055,True,0.023636363636363636
21,Gabriel,100,186,1,88,3.72,1.140876855756133,1,7,0.10380821026505019,0.054096550119978236,0.005985820637922808,0.24482878284874504,19.308327109299334,2.1969421976202086,3.0783419254723143,5.022876786567168,True,0.037575757575757575
21,RNG,100,122,1,24,2.44,0.6681317235396025,1,4,0.08444134729171232,0.04621172756865591,0.005985820637922808,0.2176038139169911,10.301844369588903,1.463203121818221,3.024536952004376,4.9277957394308425,True,0.024646464646464646
22,Gabriel,100,179,1,81,3.58,1.078702924812944,2,7,0.09843980193028619,0.05408191025131257,0.01239277202105494,0.2513450287771973,17.620724545521227,2.0845469642444887,3.0138876257363334,5.053575469097182,True,0.03616161616161616
22,RNG,100,118,1,20,2.36,0.6406246951218786,1,4,0.07958876957905774,0.04488860197823296,0.01239277202105494,0.23255026444789653,9.391474810328813,1.3878750485911935,2.792509998541559,4.909072795896053,True,0.02383838383838384
23,Gabriel,100,177,1,79,3.54,1.2117755567760888,1,7,0.09844050556016656,0.049473861337609684,0.008474547395176148,0.22221646221784042,17.42396948414948,2.2405581058274344,3.148540970659644,5.050379495051824,True,0.03575757575757576
23,RNG,100,122,1,24,2.44,0.6829348431585549,1,4,0.08310052776470839,0.04525169157110058,0.008474547395176148,0.2094062280130292,10.138264387294424,1.4926829734156903,3.061162260844613,4.966221384810492,True,0.024646464646464646
24,Gabriel,100,171,1,73,3.42,1.0215674231297707,1,7,0.09511003515883872,0.05472671008393906,0.007749150713361112,0.26451578053012265,16.26381601216142,2.036074963146245,2.98001628464588,5.03949325453415,True,0.034545454545454546
24,RNG,100,116,1,18,2.32,0.6910861017268399,1,4,0.07797684278644229,0.049307401392020715,0.007749150713361112,0.21473649343421322,9.045313763227306,1.5100045803396587,2.987648219507874,4.968208340434617,True,0.023434343434343436
